date,id,username,content,likes,rts,views
2023-04-04 02:35:21+00:00,1643079781670371328,RobertSalvatie,"@Capitanleviack1 Tanta ignorancia de la #DerechaMiserableyCorrupta esa derecha es como ser socialista en #Chile...
🤣🤣🤣 https://t.co/NFET9s41jt",0,0,1.0
2023-04-04 02:35:21+00:00,1643079781200588800,GisleneIntegral,"🔹Tu necesitas el mejor equipo de abogados del #norte de #Chile. En Gislene Rodríguez los encuentras y están disponibles las 24 hrs.
Recuerda que 🔽
✅Tenemos más de 15 años de experiencia.
✅🚨Las 24 hrs. al +56971356000.
✅Expertos en Derecho Penal.
#Antofagasta y #Calama. https://t.co/RYPtNIZFZO",0,0,259.0
2023-04-04 02:35:03+00:00,1643079705405399041,RobertSalvatie,"@eduardomenoni Tanta ignorancia de la #DerechaMiserableyCorrupta esa derecha es como ser socialista en #Chile...
🤣🇨🇱🤣 https://t.co/ZlN9fqHNZm",0,0,
2023-04-04 02:34:44+00:00,1643079625550057472,Beto_Mercado,"Los parlamentarios de derecha, totalmente populistas. Horrible.

#Chile",1,0,31.0
2023-04-04 02:34:42+00:00,1643079619866755078,RobertSalvatie,"@joseantoniogor Tanta ignorancia de la #DerechaMiserableyCorrupta esa derecha es como ser socialista en #Chile...
🤣🇨🇱🤣 https://t.co/CSb2kta7Id",0,0,3.0
2023-04-04 02:34:16+00:00,1643079508587626496,mediopernoyque,"Sr @rodolfocarter cuánto le cuesta el minuto televisivo??

#03Abr #matinal #fraude #ApagaLaTele #Corrupcion #DerechaCorrupta #botox #Chile #LaFlorida #rt #LADRON #MENTIROSO",1,0,12.0
2023-04-04 02:33:39+00:00,1643079352773476354,freddycanales1,"#Senado
#Kast
#DerechaGolpista 
#Chile",1,1,17.0
2023-04-04 02:32:40+00:00,1643079105468932099,RobertSalvatie,@Capitanleviack1 Tanta ignorancia de la #DerechaMiserableyCorrupta esa derecha es como ser socialista en #Chile... https://t.co/9j9XyPBs3W,0,0,4.0
2023-04-04 02:31:37+00:00,1643078842536394752,RPINCHEIRA88,"Resumen WrestleMania 39 Sunday 2 ganadores Bianca Belair , Snoop Dogg , Edge derrota a Finn Balor en un combate Hell in a Cell Roman Reigns derrota a Cody Rhodes para retener el Campeonato Unificado de WWE
#wrestlemaniasunday #chile #wwe #WrestleMania39
#wrestlemania https://t.co/SNUnkjwmVO",1,0,151.0
2023-04-04 02:31:20+00:00,1643078772013268994,DeTuribus,"Contamos con una amplia gama de servicios turísticos y transporte de pasajeros vía terrestre.
#Tours  #Viajes #Transporte #Chile https://t.co/0TdnaaZUbu",2,0,4.0
2023-04-04 02:31:15+00:00,1643078750169452544,prochile_pe,"#Chile es la capital mundial de la #astronomia. Dada la geografía única del #DesiertoDeAtacama y sus condiciones atmosféricas, #Chile tiene los cielos más limpios del planeta y permite que 300 noche al año estén despejados para su observación. 
#SueñoConChile ✈️ 🇨🇱 https://t.co/QmQ2uI2lDl",1,0,13.0
2023-04-04 02:30:38+00:00,1643078596443906048,taehyung__cl,"[🎥|03.04.23] Hyundai compartió a través de Twitter este video en colaboración con #BTS 

©️ About_hyundai 

#방탄소년단 #남준 #석진 #윤기 #호석 #지민 #태형 #정국 #BTS #BANGTAN  #HYBELABELS #BIGHIT #HYBE  #ARMY #CHILE #KPOP

Kei🐋 https://t.co/iXpoeVQP9H",0,0,68.0
2023-04-04 02:30:10+00:00,1643078477942333440,apuntesyviajes,"Panadería La Menta. Viaje de Prensa por Playa Ancha, Valparaíso https://t.co/pYiIGIIE6J #ApuntesyViajes 🧳🌎 #Valparaíso #Chile 🚎🇨🇱 https://t.co/pjzZvPrpOr",2,0,167.0
2023-04-04 02:28:20+00:00,1643078016187154432,PolideportivoFC,"⚽️ #SudamericanoSub17 ⚽️

- Grupo A -

🇨🇱 #Chile 2-0 #Uruguay 🇺🇾
33' A. Hales; 59' I. Roman

🇧🇷 #Brasil 3-1 #Colombia 🇨🇴
54' Dudu; 70' R. Marinho; 87' V. Simplicio / 68' W.C.Lopez",1,0,15.0
2023-04-04 02:28:08+00:00,1643077965721530369,CpsNoticias,"#MedioAmbiente | El virus de la #GripeAviar, deja centenares de pingüinos y lobos marinos muertos en las costas de #Chile, un suceso nunca antes visto en Latinoamérica. 🐧

https://t.co/bazfhBj5ba",1,1,24.0
2023-04-04 02:26:48+00:00,1643077628771827719,IConaripe,"📷 PAISAJES | Atardecer de hoy en la playa del sector #Pucura, #Coñaripe, comuna de #Panguipulli, región de #LosRíos, #Chile. 
Colores del #Otoño2023. https://t.co/62bZcXClBK",4,1,65.0
2023-04-04 02:26:11+00:00,1643077474299904000,varelacristian_,"""Gatillo Fácil"" para los delicuentes
El Gobierno de Gabriel Boric, protege a los delincuentes y destruye a la ciudadanía

Basta de @Carabdechile muertos
Muchos indultos y poca protección a quienes realmente lo necesitamos.

@GabrielBoric es el delicuente 
#Chile necesita libertad https://t.co/jeqOulCIFC",3,3,77.0
2023-04-04 02:24:42+00:00,1643077102630055937,cortesvaury,Recuerden que el 15 de Abril @ServelChile  Saldrá el listado de Vocales de Mesa para la #Constitucion  del 7 de Mayo #Chile,1,0,5.0
2023-04-04 02:24:28+00:00,1643077043368898561,agustinoschile,"📸 Celebración de Domingo de Ramos 2023 de la parroquia San Agustín de Concepción

#sanagustín #agustinos #agustinízate #chile #hermanos #vocación #agustín #augustine #semanasanta2023 https://t.co/JVMllAIjcU",0,0,8.0
2023-04-04 02:24:06+00:00,1643076948501966848,RPINCHEIRA88,"Resumen WrestleMania 39 Sunday Jimmy Allen junto a los anfitriones The Miz y Snoop Dogg dieron el inicio Ganadores Brock Lesnar derrota a Omos , Shayna Baszler y Ronda Rousey , Gunther derrota a Sheamus y Drew McIntyre #wrestlemaniasunday #chile #wwe #WrestleMania39
#wrestlemania https://t.co/77QMMK7rV1",0,0,161.0
2023-04-04 02:23:09+00:00,1643076712219959296,phenriquezmu,Este tipo lleva más de 2 semanas haciendo esta ridiculez en los vagones pidiendo plata con la música a full no respetando el espacio de los pasajeros ni el de los adultos mayores. #Santiago #chile @metrodesantiago https://t.co/hlVbde3Ab4,0,0,20.0
2023-04-04 02:19:38+00:00,1643075826135490561,Merex_ok,"🇧🇷#Brasil en el Sudamericano Sub-17:
✅2 triunfos (#Chile y #Colombia)
🤝1 empate (#Ecuador)
🔥8 goles a favor
⚽️Tiene al máximo artillero del torneo Kauã Elias (4)
🔝Líder de la Zona A
‼️Primer clasificado para el Hexagonal Final https://t.co/cw3xQy7yEf",1,0,60.0
2023-04-04 02:19:03+00:00,1643075680962224128,Misteriofmsiete,🔥 IMPERDIBLE!!! Viernes 7 de abril tendremos un emotivo programa... #Antofagasta #Calama #Tocopilla #Taltal #SierraGorda #Iquique #Arica #PozoAlmonte #AltoHospicio #Chañaral #Copiapo #Serena #Coquimbo #Ovalle #Combarbala #MontePatria #Chile https://t.co/7ahAQSsSZI,0,0,469.0
2023-04-04 02:18:16+00:00,1643075480508145664,ClaudiaDides,Esta claro que nada cambiará sustancialmente en este proceso constitucional #Chile,19,5,746.0
2023-04-04 02:18:06+00:00,1643075438875385857,AGdeportesNews,"#AGChile 🇨🇱 | ¡YA PIENSA EN SU SIGUIENTE RIVAL! ✅

🎙️ Palabras de Hernán Caputto, DT de #Chile 🇨🇱, después de la victoria 2-0 sobre #Uruguay 🇺🇾 en el #SudamericanoSub17. ⚽🏆

🎥 Informa: @SidneyGalarza11 https://t.co/EQ5tO7GYHR",2,0,44.0
2023-04-04 02:15:51+00:00,1643074873294462978,agustinoschile,"📸 La comunidad de María de la Parroquia san Agustín de San Fernando, nos comparten fotografías de la celebración de Domingo de Ramos 2023.

#sanagustín #agustinos #agustinízate #chile #hermanos #vocación #agustín #augustine #SemanaSanta2023 https://t.co/GgmYo2r9KH",0,1,16.0
2023-04-04 02:14:20+00:00,1643074491398979584,RRHHchile,"Todo el proceso de selección de personal para su empresa orientados en sus necesidades

https://t.co/Y3gF8UDqH4

#linkconsultora 
#pyme #emprededores #emprende #asesoria #servicios #pymechile #emprendedoras #emprendimiento #recursoshumanos #remuneraciones 
#Chile https://t.co/u0rp6cYTNC",0,0,
2023-04-04 02:12:16+00:00,1643073971426934785,juanlp40,"#SudamericanoSub17 #GrupoA #Fecha3 Res Finales: #Chile 🇨🇱 2(Alejandro Hales, Iván Román) - #Uruguay 🇺🇾 0, #Brasil 🇧🇷 3(Dudu, Riquelme Fillipi Marinho de Souza, Vitor Simplicio) - #Colombia 🇨🇴 1(William Camilo López) https://t.co/TRlPwKQ1TI",0,0,51.0
2023-04-04 02:11:45+00:00,1643073843496472577,lucasaykal,"@TERE_LAprofe73 @SylviaBustosA @chahuan @jacoloma @galilea_rodrigo Veremos si el @Senado_Chile es democrático y respeta la voluntad del 95% de #Chile o son unos cobardes que se bajan los pantalones ante la #ONU coludida con #Comunistas 
#Senado 
#LeyNainRetamal es #DDHH para #Carabineros
#Ministra #toha",7,5,117.0
2023-04-04 02:10:40+00:00,1643073570816368642,Cris_Arriagada,"Personas hermosas rodeadas de gente hermosa. Que gran día 🤩
La #ZackSnydersJusticeLeague en Chile!

#ZSJLAniversarioEnChile
#YoElijoSalvar
#Chile",2,1,65.0
2023-04-04 02:10:22+00:00,1643073492290600961,RRHHchile,"10 años prestando servicios a Empresas a lo largo de todo Chile.

#linkconsultora 
#pyme #emprededores #emprende #asesoria #servicios #pymechile #emprendedoras #emprendimiento #asesores #recursoshumanos #remuneraciones 
#Chile https://t.co/68MTatZ0kb",0,0,2.0
2023-04-04 02:08:42+00:00,1643073073317281793,cretamal1300,A presionar con todo y mostrar a todo #Chile quien está remando al revés.,1,0,8.0
2023-04-04 02:08:34+00:00,1643073040060764160,Fakimaki76,@christianpino @Cadem_cl 🤣🤣🤣🤣  🤣🤣🤣🤣. le dicen el Artritis ...les da a la Tercera edad 🤣🤣🤣🤣🤣🤣 #Chile,0,0,44.0
2023-04-04 02:08:26+00:00,1643073007844306944,AGdeportesNews,"#AGChile 🇨🇱 | ¡TRES PUNTOS CLAVES PARA PASAR DE FASE! ✅

🎙️ Declaraciones de Iván Román, defensor de #Chile 🇨🇱, tras el triunfo 2-0 sobre #Uruguay 🇺🇾 en el #SudamericanoSub17. ⚽🏆

🎥 Informa: @SidneyGalarza11 https://t.co/ZkxbdrMBEq",2,0,63.0
2023-04-04 02:08:26+00:00,1643073006221025280,educamposv,"En lo que va del siglo XXI, el SOCIALISMO ha destruido #Venezuela, #Nicaragua, #Bolivia, #Argentina; dejó mal parada a #Ecuador y #Basil y, va por #Colombia y #Chile;  #Peru se resiste. #Cuba desde el siglo pasado; solo se libraron #Paraguay y #Uruguay.",0,0,34.0
2023-04-04 02:07:48+00:00,1643072849890926592,SaldanaJuanjose,"Ahora en casita, con Rosing🐈.
Dia lleno de cosas raras.
Desde ser testigo de un robo, hasta evitar que maten a un colectivero. Y en ambos casos, ni un qlo ayudo #Chile #Iquique #altohospicio #regiontarapaca https://t.co/pBaKxMqmf0",0,0,159.0
2023-04-04 02:07:09+00:00,1643072685289664517,Kpo860,"Si el @GobiernodeChile recurre al tribunal constitucional por el 
Proyecto de Ley Nain-Retamal. La Ciudadanía tendrá que salir a protestar contra @GabrielBoric xq su Gobierno prefiere proteger al delincuente y no a las personas!!
#LeyNain_RetamalAhora #Carabineros96Años #Chile",1,1,81.0
2023-04-04 02:05:42+00:00,1643072321224056839,puramusica247,Now playing Ice Ice Baby (Edit) - Vanilla Ice by Varios Artistas  #badbunny #mega #musica #megamezcla #daddyyankee #colombia #chile #panama #radioenespanol #viral #boricua #puertorico #radioenvivo #caracas #venezuela #chile #radioespana #argentina #fyp #radiodigital #80s #90s ...,0,0,57.0
2023-04-04 02:05:09+00:00,1643072183420301316,RadioFmDance,((Lo Mas Leído)) #Radiofm #Noticias #Espectaculos #Dj #Chile #argentina #peru #mexico #colombia Técnicas sencillas para cuidar la capa de ozono y proteger nuestro planeta https://t.co/ReAQaSrjsk,0,0,12.0
2023-04-04 02:03:37+00:00,1643071793429725185,yoryirier,"Quien necesite Reseteo Saime o presenté alguno de estos errores, les puedo solucionar. 
Por aquí 📝💁🏻‍♀️
RT 
#saime #reseteo #venezuela #chile #mundo https://t.co/SUArMR7eEt",0,0,115.0
2023-04-04 02:03:29+00:00,1643071763792707585,Ramcec88,@meganoticiascl Puede Bukele ser presidente de #Chile? No más delincuencia...,0,0,2.0
2023-04-04 02:03:04+00:00,1643071657026756610,kakoolave,… Presidente de @metrodesantiago o a cargo de las artes y la cultura? #Chile,1,0,15.0
2023-04-04 02:02:47+00:00,1643071586566815745,evitagen13,"넋 놓고 한 시간 지나간다. 

Rosalía - Live Lollapalooza Chile 2023 (Full Show) #lollapalooza #chile https://t.co/wWnY35QuKr",0,0,55.0
2023-04-04 02:02:36+00:00,1643071540089503744,RadioFmDance,((Lo Mas Leído)) #Radiofm #Noticias #Espectaculos #Dj #Chile #argentina #peru #mexico #colombia Cómo calcular metros cúbicos https://t.co/HKm2vCf9DI,0,0,6.0
2023-04-04 02:01:14+00:00,1643071195548377091,kakoolave,… @GabrielBoric @elfrente_amplio @la_convergencia son los grandes agitadores pero #Chile ahora la tiene clarita. La farsa terminó.,1,0,10.0
2023-04-04 02:01:00+00:00,1643071137126006784,DatanServski,Agreden a un ministro de seguridad en argentina en #Chile prefieren crear leyes … somos un País que está aprendiendo a leer climas sociales y bajar temperaturas 🙂,0,0,11.0
2023-04-04 01:58:03+00:00,1643070396441174017,camilaparr15370,"Quien necesita cuidados a domicilio 💉💊🥵
https://t.co/9usfGI71c3
#sigueme #santiago #chile https://t.co/RsCrLK5PDO",2,1,23.0
2023-04-04 01:58:01+00:00,1643070384760315905,ToiletGuru,"Arturo Prat, born OTD in 1848, is a national hero of #Chile, killed in the Battle of Iquique during the War of the Pacific https://t.co/P2necmu6hq #travel #history",0,0,66.0
2023-04-04 01:57:57+00:00,1643070371002740737,RadioFmDance,((Lo Mas Leído)) #Radiofm #Noticias #Espectaculos #Dj #Chile #argentina #peru #mexico #colombia 10 pasos esenciales para convertirte en un compositor exitoso https://t.co/wrgcH8e0YM,0,0,12.0
2023-04-04 01:57:14+00:00,1643070188114391041,havolinedeport,"🔝 #Chile y #Brasil ganaron en la tercera fecha del Grupo A de la #ConmebolSub17.

📊Te dejamos la tabla de posiciones.
🔜El miércoles se jugará la cuarta fecha, donde #Ecuador enfrentará a #Uruguay, que no ha marcado en el torneo. https://t.co/VmEU3QP2OR",1,0,151.0
2023-04-04 01:56:16+00:00,1643069947000619008,MarcaChile,"Nuestra literatura es diversa y de calidad. Chile y su cultura tendrá un rol protagónico en la próxima edición de la #FILBuenosAires2023  📚. 60 escritor@s representarán a nuestra capital y a las regiones, con visiones diversas de lo que debe ser la literatura de #Chile 🇨🇱. https://t.co/JxmxZdmYS1",0,1,552.0
